FN,LN,Owner,GP*,Bye,Fan Pts,% Owned,Proj,Actual,Yds,TD,Int,Att*,Yds,TD,Tgt*,Rec,Yds,TD,TD,2PT,Lost
Antonio,Brown,Playoffs!!??,1.0,9,19.30,100%,3,3,0.0,0.0,0.0,0.0,0.0,0.0,11.5,8.0,107,0.7,0.0,0.1,0.0
Julio,Jones,Shen Sucks YoungHoe!,1.0,5,17.97,100%,6,6,0.0,0.0,0.0,0.0,0.0,0.0,11.1,7.3,111,0.5,0.0,0.1,0.1
A.J.,Green,Fantasy What Now?,1.0,6,16.42,100%,11,11,0.0,0.0,0.0,0.0,0.0,0.0,10.2,6.2,95.1,0.6,0.0,0.0,0.0
Jordy,Nelson,Playoffs!!??,1.0,8,15.12,100%,20,20,0.0,0.0,0.0,0.0,0.0,0.0,9.6,6.5,82.4,0.6,0.0,0.0,0.0
Tyreek,Hill,Flacc-o'-lantern,1.0,10,14.37,99%,26,26,0.0,0.0,0.0,2.3,16.5,0.1,7.8,5.5,63.2,0.4,0.1,0.1,0.0
Amari,Cooper,Pedialyte Powered,1.0,10,14.29,100%,30,30,0.0,0.0,0.0,0.0,0.0,0.0,8.3,5.7,81.7,0.5,0.0,0.1,0.1
Odell,Beckham,W (Jan 10),1.0,8,14.22,100%,32,32,0.0,0.0,0.0,0.0,0.0,0.0,9.7,5.4,79.9,0.5,0.1,0.1,0.1
Dez,Bryant,BigmouthBilly Bajema,1.0,6,14.15,100%,33,33,0.0,0.0,0.0,0.0,0.0,0.0,9.1,6.0,78.5,0.6,0.0,0.0,0.0
Brandin,Cooks,Flacc-o'-lantern,1.0,9,14.13,100%,34,34,0.0,0.0,0.0,0.3,3.9,0.0,8.7,6.4,80.7,0.4,0.0,0.0,0.0
Michael,Thomas,Fantasy What Now?,1.0,5,13.86,100%,39,39,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.9,75.2,0.6,0.0,0.0,0.0
Golden,Tate,Playoffs!!??,1.0,7,13.60,97%,41,41,0.0,0.0,0.0,0.2,0.9,0.0,9.5,6.6,77.3,0.4,0.0,0.0,0.0
Doug,Baldwin,Give Me Your Pencil,1.0,6,13.34,100%,43,43,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.5,70.5,0.6,0.0,0.1,0.0
Keenan,Allen,BigmouthBilly Bajema,1.0,9,13.22,99%,44,44,0.0,0.0,0.0,0.0,0.0,0.0,8.5,6.1,71.5,0.5,0.0,0.0,0.0
Davante,Adams,Shen and the Pencils,1.0,8,13.17,98%,46,46,0.0,0.0,0.0,0.0,0.0,0.0,7.5,5.2,70.4,0.6,0.0,0.0,0.1
Mike,Evans,Give Me Your Pencil,1.0,1,13.12,100%,49,49,0.0,0.0,0.0,0.0,0.0,0.0,8.7,5.0,69.6,0.6,0.0,0.1,0.0
DeAndre,Hopkins,Give Me Your Pencil,1.0,7,13.01,99%,51,51,0.0,0.0,0.0,0.0,0.0,0.0,10.5,5.1,71.3,0.5,0.0,0.1,0.0
Demaryius,Thomas,I AM the danger!!!,1.0,5,12.92,99%,53,53,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.4,71.6,0.5,0.0,0.0,0.0
Kelvin,Benjamin,W (Jan 10),1.0,6,12.91,97%,54,54,0.0,0.0,0.0,0.0,0.0,0.0,8.5,4.9,69.3,0.6,0.0,0.0,0.0
Alshon,Jeffery,Shen and the Pencils,1.0,10,12.89,99%,55,55,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,70.6,0.6,0.0,0.0,0.0
Terrelle,Pryor,W (Jan 10),1.0,5,12.69,98%,57,57,0.0,0.0,0.0,0.5,4.8,0.0,8.3,5.3,68.0,0.5,0.0,0.0,0.1
Michael,Crabtree,Shen Sucks YoungHoe!,1.0,10,12.58,99%,59,59,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.2,64.1,0.6,0.0,0.1,0.0
Emmanuel,Sanders,Playoffs!!??,1.0,5,12.52,96%,60,60,0.0,0.0,0.0,0.1,1.0,0.0,9.5,5.3,73.0,0.4,0.0,0.0,0.0
Jarvis,Landry,Natty Lights,1.0,1,12.44,95%,61,61,0.0,0.0,0.0,0.3,1.5,0.0,8.4,5.9,70.1,0.4,0.0,0.1,0.0
DeVante,Parker,I AM the danger!!!,1.0,1,12.34,94%,63,63,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.8,67.2,0.5,0.0,0.0,0.0
Martavis,Bryant,Fantasy What Now?,1.0,9,12.08,97%,64,64,0.0,0.0,0.0,0.0,0.0,0.0,6.5,4.2,66.3,0.6,0.0,0.0,0.0
Tyrell,Williams,W (Jan 10),1.0,9,11.40,83%,71,71,0.0,0.0,0.0,0.0,0.0,0.0,7.1,4.3,60.7,0.5,0.0,0.0,0.0
Pierre,Garcon,W (Jan 10),1.0,11,11.22,83%,73,73,0.0,0.0,0.0,0.0,0.0,0.0,9.5,5.4,64.5,0.3,0.0,0.0,0.0
Marqise,Lee,BigmouthBilly Bajema,1.0,8,11.08,47%,76,76,0.0,0.0,0.0,0.5,0.7,0.0,8.6,5.2,61.6,0.4,0.0,0.0,0.0
Larry,Fitzgerald,Shen and the Pencils,1.0,8,11.02,96%,77,77,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.7,60.6,0.3,0.0,0.1,0.0
T.Y.,Hilton,I AM the danger!!!,1.0,11,10.80,98%,79,79,0.0,0.0,0.0,0.0,0.0,0.0,8.1,5.0,61.4,0.4,0.0,0.0,0.0
Sammy,Watkins,I AM the danger!!!,1.0,8,10.75,93%,80,80,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.2,61.7,0.4,0.0,0.0,0.0
Stefon,Diggs,Natty Lights,1.0,9,10.65,96%,82,82,0.0,0.0,0.0,0.2,0.8,0.0,8.0,5.1,60.9,0.3,0.0,0.0,0.0
Jamison,Crowder,Shen Sucks YoungHoe!,1.0,5,10.49,86%,86,86,0.0,0.0,0.0,0.3,1.4,0.0,6.6,4.8,60.6,0.3,0.0,0.0,0.0
Jeremy,Maclin,W (Jan 10),1.0,10,10.46,88%,87,87,0.0,0.0,0.0,0.1,0.9,0.0,7.0,4.7,56.0,0.4,0.0,0.0,0.0
Geronimo,Allison,W (Jan 10),1.0,8,10.43,9%,88,88,0.0,0.0,0.0,0.0,0.0,0.0,6.4,3.8,58.8,0.4,0.0,0.0,0.0
Jordan,Matthews,W (Jan 10),1.0,6,10.38,57%,90,90,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.5,58.2,0.4,0.0,0.0,0.0
DeSean,Jackson,Fantasy What Now?,1.0,1,10.34,92%,91,91,0.0,0.0,0.0,0.2,1.2,0.0,6.6,4.0,62.3,0.4,0.0,0.0,0.1
J.J.,Nelson,W (Jan 10),1.0,8,10.29,79%,96,96,0.0,0.0,0.0,0.6,4.5,0.0,6.7,3.3,62.2,0.3,0.0,0.0,0.0
Rishard,Matthews,Shen Sucks YoungHoe!,1.0,8,10.25,76%,97,97,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,55.8,0.4,0.0,0.0,0.0
Brandon,LaFell,W (Jan 10),1.0,6,9.90,3%,104,104,0.0,0.0,0.0,0.0,0.0,0.0,6.6,4.0,55.2,0.4,0.0,0.0,0.0
Kenny,Golladay,W (Jan 10),1.0,7,9.87,67%,106,106,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.7,51.6,0.5,0.0,0.0,0.0
Ted,Ginn,Flacc-o'-lantern,1.0,5,9.81,60%,108,108,0.0,0.0,0.0,0.5,3.6,0.0,6.5,3.4,54.7,0.4,0.0,0.0,0.1
Adam,Thielen,I AM the danger!!!,1.0,9,9.79,88%,109,109,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.3,55.3,0.3,0.0,0.0,0.0
Kendall,Wright,W (Jan 10),1.0,9,9.79,17%,110,110,0.0,0.0,0.0,0.2,1.8,0.0,8.3,5.0,56.9,0.2,0.0,0.0,0.0
Allen,Hurns,W (Jan 10),1.0,8,9.79,38%,111,111,0.0,0.0,0.0,0.0,0.0,0.0,7.2,4.6,58.6,0.3,0.0,0.0,0.0
Marvin,Jones,Give Me Your Pencil,1.0,7,9.75,64%,113,113,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.9,59.2,0.3,0.0,0.0,0.0
Tyler,Lockett,W (Jan 10),1.0,6,9.71,41%,115,115,0.0,0.0,0.0,0.3,4.2,0.0,6.0,3.7,55.4,0.3,0.0,0.0,0.0
Eric,Decker,W (Jan 10),1.0,8,9.53,61%,119,119,0.0,0.0,0.0,0.0,0.0,0.0,6.5,3.9,51.7,0.4,0.0,0.0,0.0
Kenny,Stills,W (Jan 10),1.0,1,9.49,29%,120,120,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.5,56.2,0.4,0.0,0.0,0.0
Devin,Funchess,Flacc-o'-lantern,1.0,11,9.43,20%,121,121,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.8,53.1,0.4,0.0,0.0,0.0
Chris,Hogan,W (Jan 10),1.0,9,9.43,83%,122,122,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.4,49.3,0.5,0.0,0.0,0.0
Jermaine,Kearse,Natty Lights,1.0,11,9.25,47%,127,127,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.1,52.9,0.3,0.0,0.0,0.0
Mohamed,Sanu,Natty Lights,1.0,5,9.15,32%,131,131,0.0,0.0,0.0,0.2,0.9,0.0,6.2,4.0,52.2,0.3,0.0,0.0,0.0
Rashard,Higgins,W (Jan 10),1.0,9,9.12,45%,133,133,0.0,0.0,0.0,0.0,0.0,0.0,7.5,3.9,54.6,0.3,0.0,0.0,0.0
Mike,Wallace,Pedialyte Powered,1.0,10,9.10,39%,134,134,0.0,0.0,0.0,0.4,2.3,0.0,6.3,3.7,52.6,0.3,0.0,0.0,0.1
Sterling,Shepard,Pedialyte Powered,1.0,8,9.09,35%,135,135,0.0,0.0,0.0,0.3,1.2,0.0,6.6,4.1,48.7,0.3,0.0,0.0,0.0
Brandon,Marshall,W (Jan 10),1.0,8,8.93,70%,141,141,0.0,0.0,0.0,0.0,0.0,0.0,6.9,4.0,45.9,0.4,0.0,0.0,0.0
Nelson,Agholor,Shen Sucks YoungHoe!,1.0,10,8.82,46%,144,144,0.0,0.0,0.0,0.0,0.0,0.0,6.2,3.9,51.6,0.3,0.0,0.0,0.0
Paul,Richardson,Playoffs!!??,1.0,6,8.72,11%,150,150,0.0,0.0,0.0,0.1,0.3,0.0,6.1,4.0,50.8,0.3,0.0,0.0,0.0
Markus,Wheaton,W (Jan 10),1.0,9,8.71,4%,151,151,0.0,0.0,0.0,0.0,0.0,0.0,7.4,4.3,48.6,0.3,0.0,0.0,0.0
Kenny,Britt,W (Jan 10),1.0,9,8.67,44%,153,153,0.0,0.0,0.0,0.0,0.0,0.0,6.3,3.5,49.0,0.3,0.0,0.0,0.0
